Nome;Gestor;Monthly Net Captation;Quarterly Net Captation;Yearly Net Captation;Monthly return;Spread Bench monthly return;Quarterly return;Spread Bench quarterly return;Yearly return;Spread Bench annual return;PL;Cota;Vol EWMA 97%;Sharpe ratio;Tracking error;VaR;Date
BNP Paribas Premium Equities Fc FIA;BNP Paribas Asset;-180 354;-17 334 286;203 673 046;-4,98;-0,19;1,31;1,79;-4,47;5,21;300 789 434;121,5173311;24,88;-0,74;6,34;2,21;2020-09-30
Brad Fc de FIA Portfolio Long Only;Bram Bradesco Asset Management SA Dtvm;-9 944 252;-18 604 655;198 228 151;-4,30;0,49;2,39;2,87;-3,01;6,67;644 467 910;2,1835204;25,04;-0,54;5,90;2,12;2020-09-30
Btgp Acce Multigestor Acoes FIC FIA;BTG Pactual Wm Gestao de Recursos Ltda;-4 194 733;-9 770 740;114 047 263;-3,37;1,42;4,55;5,03;6,81;16,49;215 901 617;1,8230488;23,23;-0,06;7,81;1,94;2020-09-30
Ca Indosuez Alloc Action Fc FIA;Ca Indosuez Wealth (Brazil) S.A. Dtvm;-881 740;-7 094 945;47 207 571;-4,03;0,76;1,38;1,85;2,97;12,65;80 917 327;21,07746;21,43;-0,57;7,80;1,80;2020-09-30
Itau Acoes Fof Multigestor X FI;Itau Dtvm;19 227 540;169 974 346;1 795 350 433;-3,65;1,15;4,02;4,49;6,02;15,70;3 000 607 922;33,530382;24,06;-0,22;6,52;2,03;2020-09-30
Itau Unibanco Superacao FICFI Acoes Ie;Itau Dtvm;0;0;0;-4,06;0,74;1,56;2,03;-3,41;6,28;30 554 661;383,872423;23,96;-0,66;5,71;2,03;2020-09-30
Opportunity Allocation Fc FI Mult;Opp Gestora de Recursos Ltda;1 681 626;1 855 149;-14 685 803;-1,70;3,10;3,12;3,59;5,39;15,08;64 050 622;6,35525502;9,35;-0,08;17,79;0,80;2020-09-30
Santander Acoes Fundo de Fundos Lb FI;Santander Brasil Gestao de Recursos Ltda;-10 327 747;-12 243 714;188 672 882;-3,79;1,00;2,48;2,96;1,78;11,46;632 243 236;24,1978717;18,39;-0,55;10,09;1,62;2020-09-30
Santander Pb Valor Acoes Fc FI;Santander Brasil Gestao de Recursos Ltda;1 896 923;6 865 583;8 240 283;-4,65;0,14;1,14;1,62;-4,63;5,05;49 926 259;38,0388051;23,70;-0,77;5,53;2,10;2020-09-30
Xpa Acoes Fc de FIA;Xp Advisory Gestao de Recursos;0;0;-1 448 895;-3,49;1,31;1,94;2,41;-2,92;6,76;4 371 544;161,7784713;22,12;-0,53;6,71;1,88;2020-09-30
Selection Acoes Fc FIA;Xp Vista Asset Management Ltda;988 292;9 263 945;42 559 640;-4,64;0,15;2,60;3,07;0,66;10,34;49 689 045;1,14786086;24,52;-0,52;5,13;2,10;2020-09-30
