Nome;Gestor;Classe Anbima;Competitor group;Benchmark
Af Invest FI RF Cred Priv Geraes;Af Invest Administracao de Recursos;Renda Fixa;Agilite;CDI
ARX Denali Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Agilite;CDI
Az Quest Luce Fc FI RF Cred Priv LP;Az Quest Investimentos;Renda Fixa;Agilite;CDI
BNP Paribas Targus Fc FI RF Cred Priv;BNP Paribas Asset;Renda Fixa;Vitesse;CDI
Bnpp Rubi Fc FI RF Cred Priv;BNP Paribas Asset;Renda Fixa;Vitesse;CDI
Brad H FI RF Cred Priv LP Perf Instituc;Bram Bradesco Asset Management SA Dtvm;Renda Fixa;Agilite;CDI
Bradesco H FI RF Ref DI LP;Bram Bradesco Asset Management SA Dtvm;Renda Fixa;DI60;CDI
Bp Cred Corp II Fc FI RF Cred Priv LP;Brasil Plural Gestao de Recursos Ltda;Renda Fixa;Vitesse;CDI
Btgp Access Balanceado FICFI Mult;BTG Pactual Wm Gestao de Recursos Ltda;Renda Fixa;Beton;CDI
BTG Pact Cre Cor I FICFI RF Cred Priv;BTG Pactual;Renda Fixa;Vitesse;CDI
BTG Pactual Yield DI FI Ref Cred Priv;BTG Pactual;Renda Fixa;DI60;CDI
Caixa FIC Premium RF Ref DI LP;Caixa;Renda Fixa;DI60;CDI
CSHG Top 30 Fc FI Mult;Credit Suisse Hedging Griffo Wm S.A.;Multimercados;Beton;CDI
Daycoval Classic Firf Cred. Priv.;Daycoval Asset Management Adm Rec Ltda;Renda Fixa;Agilite;CDI
Devant Magna FI RF Cred Priv LP;Devant Asset Investimentos Ltda;Renda Fixa;Vitesse;CDI
G5 Allocation FICFI Mult;G5 Administradora de Recursos Ltda;Multimercados;Beton;CDI
Gama Top FICFI RF Cred Priv LP;Gama Investimentos Ltda;Renda Fixa;Vitesse;CDI
Itau Fof Orion Mult Cred Priv Ie FICFI;Itau Dtvm;Multimercados;Beton;CDI
Itau Mult Hedge Fund 30 Mult FICFI;Itau Dtvm;Renda Fixa;Beton;CDI
Itau Selecao Multifundos Mult Fc FI;Itau Dtvm;Renda Fixa;Beton;CDI
Itau Selecao Multifundos Plus Mult Fc;Itau Dtvm;Renda Fixa;Beton;CDI
Itau Private RF Ref DI Exclusive FICFI;Itau Unibanco SA;Renda Fixa;DI60;CDI
Itau RF LP Cred Priv Diferenciado FI;Itau Unibanco SA;Renda Fixa;Agilite;CDI
Jgp Corporate FICFI RF Cred Priv LP;Jgp Gestao de Credito Ltda;Renda Fixa;Vitesse;CDI
Opportunity Allocation Fc FI Mult;Opp Gestora de Recursos Ltda;Multimercados;Beton;CDI
