Nome;Classe;Pais Sede;Tipo de Ativo;"Ativo
Cancelado";Gestor;2020-05-29;2020-07-31;2020-06-30;2020-04-30;2020-03-31;2020-02-28;2020-01-31;2019-12-31;2019-11-29;2019-10-31;2019-09-30;2019-08-30;2019-07-31;2019-06-28
Af Invest FI RF Cred Priv Geraes;;BR;Fundo;ativo;Af Invest Administracao de Recursos;1 642 832 676;1 430 453 526;1 539 976 611;1 914 920 439;2 431 449 829;3 058 429 105;3 207 434 158;2 888 070 612;2 963 085 523;3 478 220 871;3 574 321 179;3 390 772 042;3 553 213 039;3 642 448 027
ARX Denali Fc FI RF Cred Priv;;BR;Fundo;ativo;ARX Investimentos Ltda;1 191 901 803;1 300 835 095;1 207 289 956;1 297 965 852;1 651 818 760;2 312 857 574;2 306 275 536;2 081 431 798;2 041 767 974;2 146 341 896;1 848 943 964;1 489 673 123;1 293 697 337;1 114 702 484
ARX Elbrus Fundo Inc Inv Infra RF;;BR;Fundo;ativo;ARX Investimentos Ltda;184 383 329;198 041 058;193 000 871;181 269 246;200 166 731;208 355 818;202 910 039;197 212 743;199 035 882;191 551 019;173 037 494;177 020 314;141 850 550;121 408 205
Az Quest Debentures Incentivadas FICFI Mult Cred P;;BR;Fundo;ativo;Az Quest Investimentos;62 482 036;62 491 725;61 953 181;62 264 392;68 839 713;71 401 330;64 123 313;58 457 920;56 694 687;53 976 287;54 288 007;57 722 022;58 337 399;58 676 061
Az Quest Luce Fc FI RF Cred Priv LP;;BR;Fundo;ativo;Az Quest Investimentos;2 322 067 939;2 300 305 255;2 198 310 135;2 413 256 333;2 738 028 005;4 069 151 088;4 238 190 960;4 292 926 294;4 642 142 238;5 636 145 864;6 221 053 488;6 405 441 386;6 062 893 980;6 232 359 870
BNP Paribas Premium Equities Fc FIA;;BR;Fundo;ativo;BNP Paribas Asset;285 209 989;334 795 833;312 586 268;244 170 352;219 570 945;317 984 086;312 023 547;262 057 925;147 587 561;136 929 515;124 476 375;114 820 385;111 474 246;102 434 360
BNP Paribas Targus Fc FI RF Cred Priv;;BR;Fundo;ativo;BNP Paribas Asset;573 381 520;513 190 475;523 371 020;622 915 234;795 563 563;981 505 406;890 323 523;1 042 253 546;1 161 704 365;1 124 208 039;1 251 210 829;1 347 104 588;1 264 738 476;1 002 852 572
Bnpp Fdo Inc de Inv Infra Deb Inc RF;;BR;Fundo;ativo;BNP Paribas Asset;475 329 169;509 790 522;485 550 091;470 291 806;487 361 236;517 383 974;524 748 060;530 025 072;546 528 378;553 764 256;524 780 540;520 761 016;501 581 638;464 446 736
Bnpp Rubi Fc FI RF Cred Priv;;BR;Fundo;ativo;BNP Paribas Asset;963 129 999;883 819 585;936 426 572;998 320 294;1 243 062 137;1 420 889 709;1 482 942 064;1 772 797 245;1 942 216 833;2 165 542 980;2 067 360 182;2 179 032 322;2 264 079 167;2 153 835 750
Brad Fc de FIA Portfolio Long Only;;BR;Fundo;ativo;Bram Bradesco Asset Management SA Dtvm;592 820 973;712 806 605;646 465 555;558 340 119;508 664 992;768 165 543;799 789 065;717 530 865;611 967 453;548 603 375;496 690 081;462 316 757;443 972 242;407 319 951
Brad H FI RF Cred Priv LP Perf Instituc;;BR;Fundo;ativo;Bram Bradesco Asset Management SA Dtvm;2 038 592 326;1 987 082 775;2 004 250 905;2 295 624 958;2 979 504 515;3 320 710 834;3 273 602 846;3 351 644 240;3 823 345 669;4 136 191 445;4 259 692 051;4 417 520 402;4 435 187 065;4 534 687 000
Bradesco H FI RF Ref DI LP;;BR;Fundo;ativo;Bram Bradesco Asset Management SA Dtvm;518 146 374;531 715 566;536 483 529;535 110 126;538 665 509;569 507 872;579 377 992;574 741 174;596 078 269;600 170 736;668 457 842;662 308 749;656 123 247;659 038 186
Bp Cred Corp II Fc FI RF Cred Priv LP;;BR;Fundo;ativo;Brasil Plural Gestao de Recursos Ltda;233 522 035;217 932 064;227 673 817;382 405 012;404 049 672;456 502 452;464 841 744;499 375 851;537 813 554;555 528 267;578 732 991;606 872 784;609 397 551;596 056 169
Btgp Acce Multigestor Acoes FIC FIA;;BR;Fundo;ativo;BTG Pactual Wm Gestao de Recursos Ltda;196 538 213;230 627 663;215 856 675;177 269 794;164 381 226;213 974 635;213 073 273;181 546 183;147 519 689;130 630 035;94 529 755;86 520 859;71 039 911;59 670 237
Btgp Access Balanceado FICFI Mult;;BR;Fundo;ativo;BTG Pactual Wm Gestao de Recursos Ltda;221 227 393;238 609 801;226 886 779;212 169 295;212 173 891;226 188 829;206 601 342;174 870 685;163 043 063;142 770 731;128 592 772;132 296 989;114 748 953;95 062 753
BTG Pact Cre Cor I FICFI RF Cred Priv;;BR;Fundo;ativo;BTG Pactual;840 450 698;710 226 769;797 711 787;899 496 939;1 242 071 144;1 350 859 091;1 508 969 958;1 646 363 507;1 766 160 729;1 876 915 860;1 968 410 840;2 043 061 809;2 188 488 292;2 225 614 439
BTG Pactual Yield DI FI Ref Cred Priv;;BR;Fundo;ativo;BTG Pactual;1 425 694 177;1 372 770 522;1 379 436 605;1 516 968 863;2 406 647 817;4 017 670 187;3 802 339 609;3 646 454 858;3 854 847 102;4 172 093 930;4 470 597 307;4 657 170 275;4 632 615 399;4 542 907 971
Ca In Avant Garde Feed1 Fc Mult Credpriv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;67 579 295;61 307 661;62 694 603;70 337 897;74 039 382;75 864 568;75 940 115;80 550 819;80 194 044;80 055 172;79 444 450;80 289 200;78 589 689;79 093 712
Ca Indosuez Agilite FI RF Cred Priv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;531 464 213;483 274 288;498 719 487;601 818 675;753 335 844;914 135 525;1 002 824 371;1 099 742 477;1 230 038 535;1 424 015 807;1 675 890 276;1 700 819 381;1 759 653 158;1 799 936 741
Ca Indosuez Alloc Action Fc FIA;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;78 679 943;93 687 831;86 654 562;72 427 021;62 609 357;74 626 014;67 416 121;59 114 347;45 526 033;38 687 321;31 370 199;29 066 329;24 971 698;22 752 058
Ca Indosuez Beton FICFI Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;182 848 412;196 370 314;190 777 534;177 936 756;173 281 322;186 681 861;170 496 062;152 954 408;134 119 102;120 280 855;112 570 884;106 101 532;95 539 738;89 803 387
Ca Indosuez Debent Inc Cred Priv Fc Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;1 381 594 320;1 404 935 033;1 374 766 339;1 394 401 401;1 523 028 074;1 692 576 541;1 769 483 953;1 871 083 226;1 968 215 412;2 079 940 451;2 086 267 661;1 842 651 083;1 607 535 137;1 611 434 451
Ca Indosuez DI Master FI RF Ref DI LP;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;486 390 460;474 989 215;483 987 967;524 279 874;644 026 228;840 878 174;894 681 834;994 863 715;1 140 580 392;1 368 014 075;1 263 883 341;1 352 950 668;1 368 339 076;1 359 412 686
Ca Indosuez Grand Vitesse Firf Cred Priv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;203 512 483;198 219 206;199 010 743;230 535 378;353 950 817;384 098 768;414 163 367;459 843 456;390 001 794;422 026 194;402 368 182;414 423 420;395 796 501;363 010 904
Ca Indosuez Private Pi Fc de FI Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;6 962 278;7 757 359;7 200 366;6 943 848;6 987 006;7 142 541;6 534 634;6 205 648;6 018 021;4 992 819;4 804 773;4 554 610;4 261 302;2 238 711
Ca Indosuez Vitesse FI RF Cred Priv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;1 316 988 803;1 186 361 186;1 253 875 909;1 433 166 800;1 948 094 316;2 148 888 995;2 338 680 060;2 666 034 700;2 991 819 788;3 317 533 768;3 483 063 112;3 485 882 262;3 426 928 768;3 258 808 857
