Nome;Classe;Pais Sede;Tipo de Ativo;"Ativo
Cancelado";Gestor;2020-05-29;2020-07-31;2020-06-30;2020-04-30;2020-03-31;2020-02-28;2020-01-31;2019-12-31;2019-11-29;2019-10-31;2019-09-30;2019-08-30;2019-07-31;2019-06-28
Af Invest FI RF Cred Priv Geraes;;BR;Fundo;ativo;Af Invest Administracao de Recursos;3,0002068;3,0259065;3,0089067;3,0027977;3,0527926;3,1102762;3,1012686;3,0882574;3,0766021;3,0703564;3,058663;3,0440541;3,0276813;3,0085849
BNP Paribas Premium Equities Fc FIA;;BR;Fundo;ativo;BNP Paribas Asset;110,0890677;131,0265734;119,9452072;101,560746;90,4001221;133,4520439;145,2757504;143,5398301;132,5266714;130,4237094;127,2081383;124,8966568;123,4810596;119,2127417
BNP Paribas Targus Fc FI RF Cred Priv;;BR;Fundo;ativo;BNP Paribas Asset;454,4429766;458,3363232;455,8474903;452,4397936;451,8405164;457,9761166;456,6658876;454,8582076;453,433225;452,3369102;450,6528635;448,4579506;446,3096353;443,8303028
Bnpp Fdo Inc de Inv Infra Deb Inc RF;;BR;Fundo;ativo;BNP Paribas Asset;136,7906942;141,9375546;138,4602811;134,0045514;132,3608332;139,2099744;138,4711942;137,0606225;135,1950196;137,8061239;136,5234446;134,2762458;134,7804525;133,7601164
Ca In Avant Garde Feed1 Fc Mult Credpriv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;11,8628661;11,9709223;11,9105624;11,827251;11,8162579;11,8165017;11,7787493;11,7272028;11,6786409;11,6287224;11,5683209;11,5085681;11,4444701;11,3735493
Ca Indosuez Agilite FI RF Cred Priv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;13,6473466;13,8574681;13,7459611;13,5923793;14,0096028;14,3798564;14,373139;14,3213493;14,2762757;14,2761008;14,2585922;14,1968465;14,1302429;14,0522446
Ca Indosuez Alloc Action Fc FIA;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;18,969407;22,400283;20,790932;17,415933;15,609734;21,405335;22,934907;22,758714;21,125383;20,678568;20,469168;20,085127;19,813211;19,104564
Ca Indosuez Beton FICFI Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;71,417104;75,901823;73,38148;69,250299;66,571133;73,791196;75,201916;74,474853;72,691414;72,526615;71,866601;71,600906;71,287607;70,092626
Ca Indosuez Debent Inc Cred Priv Fc Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;17,253205;18,364497;17,646634;16,858364;16,534402;17,867994;17,78276;17,58746;17,206554;17,709872;17,40295;17,014168;17,041513;16,91005
Ca Indosuez DI Master FI RF Ref DI LP;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;141,067282;142,140091;141,553669;140,386299;142,484823;144,398283;144,249122;143,761733;143,384463;143,227;142,890866;142,272285;141,603435;140,820998
