Nome;Classe;Pais Sede;Tipo de Ativo;"Ativo
Cancelado";Gestor;2020-05-29;2020-07-31;2020-06-30;2020-04-30;2020-03-31;2020-02-28;2020-01-31;2019-12-31;2019-11-29;2019-10-31;2019-09-30;2019-08-30;2019-07-31;2019-06-28
Af Invest FI RF Cred Priv Geraes;;BR;Fundo;ativo;Af Invest Administracao de Recursos;2,07;0,93;1,30;3,66;2,33;0,05;0,06;0,11;0,17;0,14;0,09;0,10;0,13;0,07
ARX Denali Fc FI RF Cred Priv;;BR;Fundo;ativo;ARX Investimentos Ltda;1,48;0,85;1,18;2,53;1,69;0,07;0,07;0,11;0,17;0,20;0,12;0,21;0,05;0,07
ARX Elbrus Fundo Inc Inv Infra RF;;BR;Fundo;ativo;ARX Investimentos Ltda;6,60;2,89;4,19;10,41;13,36;1,83;1,50;2,15;2,34;2,53;2,54;2,45;1,88;2,50
Az Quest Debentures Incentivadas FICFI Mult Cred P;;BR;Fundo;ativo;Az Quest Investimentos;6,72;3,39;4,33;10,38;12,05;2,00;1,76;2,48;2,71;2,87;2,79;2,72;2,00;2,47
Az Quest Luce Fc FI RF Cred Priv LP;;BR;Fundo;ativo;Az Quest Investimentos;2,97;1,67;2,10;5,10;6,30;0,10;0,14;0,17;0,27;0,24;0,07;0,11;0,07;0,03
BNP Paribas Premium Equities Fc FIA;;BR;Fundo;ativo;BNP Paribas Asset;43,74;22,71;31,46;64,54;98,61;31,69;18,56;10,43;13,28;13,36;14,25;22,47;13,17;15,88
BNP Paribas Targus Fc FI RF Cred Priv;;BR;Fundo;ativo;BNP Paribas Asset;0,95;0,51;0,62;1,60;1,76;0,07;0,07;0,12;0,13;0,13;0,07;0,05;0,04;0,04
Bnpp Fdo Inc de Inv Infra Deb Inc RF;;BR;Fundo;ativo;BNP Paribas Asset;8,79;3,87;5,74;13,99;17,48;2,67;2,27;3,05;2,78;2,50;2,56;2,81;1,78;2,44
Bnpp Rubi Fc FI RF Cred Priv;;BR;Fundo;ativo;BNP Paribas Asset;1,78;1,08;1,34;2,81;2,72;0,22;0,15;0,21;0,21;0,21;0,11;0,12;0,09;0,10
Brad Fc de FIA Portfolio Long Only;;BR;Fundo;ativo;Bram Bradesco Asset Management SA Dtvm;47,86;22,50;32,88;70,35;106,57;31,75;17,94;10,30;12,90;12,56;13,07;20,84;12,46;15,43
Brad H FI RF Cred Priv LP Perf Instituc;;BR;Fundo;ativo;Bram Bradesco Asset Management SA Dtvm;1,12;0,55;0,74;1,78;1,55;0,10;0,08;0,13;0,15;0,15;0,03;0,03;0,01;0,02
Bradesco H FI RF Ref DI LP;;BR;Fundo;ativo;Bram Bradesco Asset Management SA Dtvm;0,05;0,05;0,06;0,04;0,04;0,05;0,04;0,05;0,04;0,03;0,03;0,02;0,01;0,00
Bp Cred Corp II Fc FI RF Cred Priv LP;;BR;Fundo;ativo;Brasil Plural Gestao de Recursos Ltda;2,30;1,46;1,79;3,93;5,61;0,10;0,12;0,17;0,27;0,30;0,15;0,17;0,08;0,09
Btgp Acce Multigestor Acoes FIC FIA;;BR;Fundo;ativo;BTG Pactual Wm Gestao de Recursos Ltda;44,96;21,84;30,24;66,40;100,23;29,99;15,93;9,31;12,11;11,68;12,43;17,87;11,31;13,30
Btgp Access Balanceado FICFI Mult;;BR;Fundo;ativo;BTG Pactual Wm Gestao de Recursos Ltda;9,82;6,53;7,94;14,29;22,34;7,55;4,16;2,47;2,90;2,69;2,68;3,76;2,37;2,98
BTG Pact Cre Cor I FICFI RF Cred Priv;;BR;Fundo;ativo;BTG Pactual;2,09;1,59;1,54;3,69;3,34;0,15;0,18;0,27;0,30;0,29;0,09;0,09;0,09;0,09
BTG Pactual Yield DI FI Ref Cred Priv;;BR;Fundo;ativo;BTG Pactual;2,54;0,99;1,51;4,55;2,72;0,07;0,10;0,13;0,19;0,21;0,04;0,03;0,02;0,02
Ca In Avant Garde Feed1 Fc Mult Credpriv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;0,52;0,23;0,34;0,64;0,59;0,07;0,05;0,08;0,13;0,15;0,29;0,55;0,04;0,06
Ca Indosuez Agilite FI RF Cred Priv;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;2,72;1,53;1,93;4,35;3,29;0,20;0,12;0,20;0,31;0,36;0,06;0,08;0,09;0,08
Ca Indosuez Alloc Action Fc FIA;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;42,19;18,89;28,91;60,34;90,51;27,96;15,07;8,74;11,34;11,25;11,81;18,57;11,41;13,13
Ca Indosuez Beton FICFI Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;10,93;6,19;7,86;16,97;27,51;8,58;3,75;2,40;3,20;3,31;3,68;5,06;3,14;3,81
Ca Indosuez Debent Inc Cred Priv Fc Mult;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;15,56;6,45;9,58;23,00;27,65;4,22;3,54;4,79;4,07;3,45;3,21;3,58;2,47;3,62
Ca Indosuez DI Master FI RF Ref DI LP;;BR;Fundo;ativo;Ca Indosuez Wealth (Brazil) S.A. Dtvm;1,46;0,73;0,93;2,33;2,29;0,14;0,11;0,18;0,25;0,36;0,05;0,05;0,04;0,03
