Ativo;Data;Value;Daily return;Monthly Return;Vol EWMA 97%
CDI Acumulado<BraNa>;2019-06-03;5752.33006;0.024620259683;0.51830024877;0.00015927396947
CDI Acumulado<BraNa>;2019-06-04;5753.7463;0.024620284057;0.54304813984;0.0001566763714
CDI Acumulado<BraNa>;2019-06-05;5755.16289;0.024620306976;0.56780214691;0.00015408846457
CDI Acumulado<BraNa>;2019-06-06;5756.57983;0.024620328259;0.56780214709;0.00015150917171
CDI Acumulado<BraNa>;2019-06-07;5757.99711;0.024620174554;0.56780211362;0.00014885540664
CDI Acumulado<BraNa>;2019-06-10;5759.41474;0.024620192926;0.51830023876;0.00014621080709
CDI Acumulado<BraNa>;2019-06-11;5760.83272;0.024620209842;0.54304805526;0.00014357438143
CDI Acumulado<BraNa>;2019-06-12;5762.25105;0.024620225486;0.56780198029;0.0001409453423
CDI Acumulado<BraNa>;2019-06-13;5763.66973;0.02462023931;0.56780198356;0.00013832264032
CDI Acumulado<BraNa>;2019-06-14;5765.08876;0.024620251861;0.56780195227;0.00013570549483
CDI Acumulado<BraNa>;2019-06-17;5766.50814;0.024620262593;0.51830014163;0.00013309296693
CDI Acumulado<BraNa>;2019-06-18;5767.92787;0.024620272234;0.5430480207;0.00013048431408
CDI Acumulado<BraNa>;2019-06-19;5769.34795;0.024620280055;0.56780200084;0.00012787869579
CDI Acumulado<BraNa>;2019-06-21;5770.76838;0.024620286604;0.54304798541;0.00012527536219
CDI Acumulado<BraNa>;2019-06-24;5772.18916;0.024620291515;0.4935584946;0.00012267345717
CDI Acumulado<BraNa>;2019-06-25;5773.61029;0.024620294971;0.51830030534;0.00012007234854
CDI Acumulado<BraNa>;2019-06-26;5775.03177;0.024620296972;0.54304820933;0.00011747125765
CDI Acumulado<BraNa>;2019-06-27;5776.4536;0.024620297518;0.5430482177;0.00011486950986
CDI Acumulado<BraNa>;2019-06-28;5777.87578;0.024620296426;0.54304819314;0.0001122664661
CDI Acumulado<BraNa>;2019-07-01;5779.29831;0.02462029388;0.49355874835;0.00010966138975
CDI Acumulado<BraNa>;2019-07-02;5780.72119;0.024620289878;0.51830055399;0.00010705373806
CDI Acumulado<BraNa>;2019-07-03;5782.14442;0.024620284421;0.51830057891;0.00010444285935
CDI Acumulado<BraNa>;2019-07-04;5783.568;0.024620277509;0.51830057237;0.00010182820902
CDI Acumulado<BraNa>;2019-07-05;5784.99193;0.02462026896;0.51830053417;0.000099209136211
CDI Acumulado<BraNa>;2019-07-08;5786.41621;0.024620259137;0.49355877509;0.000096585191727
CDI Acumulado<BraNa>;2019-07-09;5787.84084;0.024620247495;0.51830053799;0.000093955739375
CDI Acumulado<BraNa>;2019-07-10;5789.26582;0.024620234763;0.51830057982;0.000091320391327
CDI Acumulado<BraNa>;2019-07-11;5790.69115;0.024620220393;0.51830059056;0.000088678666276
CDI Acumulado<BraNa>;2019-07-12;5792.11683;0.024620204385;0.51830056927;0.000086030004761
CDI Acumulado<BraNa>;2019-07-15;5793.54286;0.024620187105;0.49355874962;0.000083374075959
CDI Acumulado<BraNa>;2019-07-16;5794.96924;0.024620168188;0.51830043285;0.000080710408995
CDI Acumulado<BraNa>;2019-07-17;5796.39598;0.024620320437;0.51830049106;0.000078119257007
CDI Acumulado<BraNa>;2019-07-18;5797.82307;0.024620298609;0.51830051743;0.000075516729791
CDI Acumulado<BraNa>;2019-07-19;5799.25051;0.024620275326;0.5183005127;0.000072902614898
CDI Acumulado<BraNa>;2019-07-22;5800.6783;0.024620250406;0.51830047632;0.000070276582055
CDI Acumulado<BraNa>;2019-07-23;5802.10644;0.024620224212;0.54304830719;0.000067638409479
CDI Acumulado<BraNa>;2019-07-24;5803.53493;0.024620196382;0.54304821151;0.00006498789544
CDI Acumulado<BraNa>;2019-07-25;5804.96377;0.024620167278;0.54304808309;0.0000623249207
CDI Acumulado<BraNa>;2019-07-26;5806.39297;0.024620308795;0.54304809491;0.000059729029909
CDI Acumulado<BraNa>;2019-07-29;5807.82252;0.024620276417;0.51830017019;0.000057117127163
CDI Acumulado<BraNa>;2019-07-30;5809.25242;0.024620242584;0.54304801961;0.000054489161892
CDI Acumulado<BraNa>;2019-07-31;5810.68267;0.024620207478;0.56780192663;0.000051845165277
CDI Acumulado<BraNa>;2019-08-01;5812.00464;0.022750683092;0.56592216297;0.0051140169015
CDI Acumulado<BraNa>;2019-08-02;5813.32691;0.022750669996;0.56404242532;0.0071486685969
CDI Acumulado<BraNa>;2019-08-05;5814.64948;0.02275065599;0.51266363644;0.0086543187914
CDI Acumulado<BraNa>;2019-08-06;5815.97235;0.022750640528;0.53553091129;0.0098780891241
CDI Acumulado<BraNa>;2019-08-07;5817.29552;0.022750623975;0.55840337191;0.010917069019
CDI Acumulado<BraNa>;2019-08-08;5818.61899;0.022750606149;0.55652374158;0.01182175023
CDI Acumulado<BraNa>;2019-08-09;5819.94276;0.022750587414;0.55464413908;0.012622543229
CDI Acumulado<BraNa>;2019-08-12;5821.26683;0.022750567405;0.50327023528;0.013339548808
CDI Acumulado<BraNa>;2019-08-13;5822.5912;0.022750546304;0.52613527823;0.013986923017
CDI Acumulado<BraNa>;2019-08-14;5823.91588;0.022750695643;0.54900567338;0.014574964688
CDI Acumulado<BraNa>;2019-08-15;5825.24086;0.022750671997;0.5471263572;0.015111841397
CDI Acumulado<BraNa>;2019-08-16;5826.56614;0.022750647258;0.54524707029;0.015603858803
CDI Acumulado<BraNa>;2019-08-19;5827.89172;0.022750621247;0.49387778563;0.016056097187
CDI Acumulado<BraNa>;2019-08-20;5829.2176;0.022750594326;0.51674074002;0.016472725231
CDI Acumulado<BraNa>;2019-08-21;5830.54378;0.02275056595;0.53960886744;0.016857237267
CDI Acumulado<BraNa>;2019-08-22;5831.87027;0.022750708195;0.53772969968;0.017212462508
CDI Acumulado<BraNa>;2019-08-23;5833.19706;0.022750677454;0.53585056248;0.017541059974
CDI Acumulado<BraNa>;2019-08-26;5834.52415;0.022750645803;0.48448632642;0.017845226678
CDI Acumulado<BraNa>;2019-08-27;5835.85154;0.022750612879;0.50734716278;0.018126876381
CDI Acumulado<BraNa>;2019-08-28;5837.17923;0.022750578682;0.53021316598;0.018386132734
CDI Acumulado<BraNa>;2019-08-29;5838.50723;0.022750714925;0.5283341543;0.018625882056
CDI Acumulado<BraNa>;2019-08-30;5839.83553;0.022750678363;0.52645517499;0.018847572722
CDI Acumulado<BraNa>;2019-09-02;5841.16413;0.02275064071;0.47885179065;0.019052412115
CDI Acumulado<BraNa>;2019-09-03;5842.49303;0.022750601784;0.50171133425;0.019241482977
CDI Acumulado<BraNa>;2019-09-04;5843.82223;0.022750561948;0.52457603833;0.019415758133
CDI Acumulado<BraNa>;2019-09-05;5845.15174;0.022750692187;0.52457607471;0.019576037021
CDI Acumulado<BraNa>;2019-09-06;5846.48155;0.022750649805;0.52457608399;0.019723235035
