Ativo;Data;Cota;PL;Capt Liq;Monthly Return;Vol EWMA 97%;Daily Return
372986<BraNa>;2019-06-03;18.376223215;21337352.93;50000;2.0359894444;15.224413592;0.033496030119
372986<BraNa>;2019-06-04;18.410735585;21377427.52;0;2.2276231513;14.994205503;0.18780991686
372986<BraNa>;2019-06-05;18.237980729;21176834.54;0;1.2683829205;15.060834379;-0.93833760511
372986<BraNa>;2019-06-06;18.448479082;21421252.34;0;3.1640619081;15.094209778;1.1541757623
372986<BraNa>;2019-06-07;18.579662288;21573575.1;0;4.2439915123;14.948361317;0.71107870244
372986<BraNa>;2019-06-10;18.528707266;21710408.99;196000;3.860950337;14.765905123;-0.27425160497
372986<BraNa>;2019-06-11;18.750615072;22020422.2;50000;5.1048339645;14.826950472;1.1976432175
372986<BraNa>;2019-06-12;18.626361141;21874500.05;0;4.4083400782;14.76973137;-0.66266589256
372986<BraNa>;2019-06-13;18.757383341;22028370.89;0;7.2578483239;14.629202588;0.70342348845
372986<BraNa>;2019-06-14;18.656759348;21910198.93;0;6.3720292934;14.526187025;-0.53645005382
372986<BraNa>;2019-06-17;18.616900766;21863390.07;0;8.418163868;14.338000532;-0.21364150625
372986<BraNa>;2019-06-18;18.856858288;22195191.8;50000;9.8155905547;14.470729386;1.2889230336
372986<BraNa>;2019-06-19;18.984537355;22345474.61;0;10.55914772;14.325289842;0.67709617742
372986<BraNa>;2019-06-21;19.1469618;22649654.96;113000;7.2076836626;14.245475517;0.85556177837
372986<BraNa>;2019-06-24;19.143571666;22645644.09;0;7.8382254125;14.039693827;-0.01770586141
372986<BraNa>;2019-06-25;18.850127021;22298517.06;0;6.1852136188;14.577488431;-1.5328625701
372986<BraNa>;2019-06-26;18.896132847;22502939.38;150000;6.4443704096;14.360426045;0.24406109078
372986<BraNa>;2019-06-27;18.984793365;22608523.66;0;6.0002941469;14.173031227;0.46919927481
372986<BraNa>;2019-06-28;19.105322148;22752058.02;0;4.8862631986;14.023689082;0.63487013304
372986<BraNa>;2019-07-01;19.110074336;22606660.49;-151056.32;4.0283154412;13.816316607;0.024873637449
372986<BraNa>;2019-07-02;19.023962919;22649792.97;145000;3.5595561103;13.703414013;-0.45060744187
372986<BraNa>;2019-07-03;19.159924314;22811668.75;0;4.2647560931;13.590954504;0.71468492606
372986<BraNa>;2019-07-04;19.604976975;23342544.93;1000;6.4866576624;14.634234447;2.3228309961
372986<BraNa>;2019-07-05;19.748771681;23711855.23;198102.05;8.2837621907;14.491244504;0.73346021436
372986<BraNa>;2019-07-08;19.88052091;23870042.88;0;7.0015191945;14.32950546;0.66712619027
372986<BraNa>;2019-07-09;19.884620072;24374965.3;500000;7.0235818273;14.112770024;0.020618990311
372986<BraNa>;2019-07-10;20.136401064;24683602.63;0;8.6767726116;14.190141308;1.2662097157
372986<BraNa>;2019-07-11;20.051223683;24579191.28;0;6.9363517219;14.081739071;-0.42300200412
372986<BraNa>;2019-07-12;19.895332497;24471391.93;83295.41;6.8127711387;14.123805029;-0.77746470042
372986<BraNa>;2019-07-15;19.854447875;24421103.78;0;6.4195957348;13.944202778;-0.20549856317
372986<BraNa>;2019-07-16;19.875462709;24446952.14;0;6.5322349854;13.733906011;0.1058444639
372986<BraNa>;2019-07-17;19.923073598;24622339.03;116825.87;7.0160594863;13.522456475;0.2395460675
372986<BraNa>;2019-07-18;20.019869439;24741966.59;0;6.1675764513;13.344648405;0.48584793221
372986<BraNa>;2019-07-19;19.841132347;24521071.01;0;4.5120667197;13.467371729;-0.89279849335
