Ativo;Data;Cota;PL;Capt Liq;Monthly Return;Vol EWMA 97%;Daily Return
125970<BraNa>;2019-06-03;68.74094616;86829297.68;141788.18;0.6351969645;3.8639612939;-0.0055978034652
125970<BraNa>;2019-06-04;68.790264704;86891593.67;0;0.70739820239;3.8070196365;0.071745512651
125970<BraNa>;2019-06-05;68.640440975;86001505.85;-700840.68;0.48805963761;3.8122473576;-0.21779786657
125970<BraNa>;2019-06-06;68.898496288;86374829.94;50000;0.89459510309;3.87080436;0.37595229387
125970<BraNa>;2019-06-07;69.100313699;86650839.27;23000;1.2781686381;3.8771649093;0.29291990686
125970<BraNa>;2019-06-10;69.110883244;86513794.12;-150299.78;1.0828764316;3.8196568941;0.015295943922
125970<BraNa>;2019-06-11;69.347830467;86810407.22;0;1.4294398929;3.8543066651;0.34285081056
125970<BraNa>;2019-06-12;69.281989071;86727985.85;0;1.333139029;3.8136651638;-0.094943700697
125970<BraNa>;2019-06-13;69.549315862;87062628.19;0;2.333064985;3.875989231;0.38585322727
125970<BraNa>;2019-06-14;69.505948624;87137505.61;129164.52;2.1419992107;3.827526191;-0.062354656893
125970<BraNa>;2019-06-17;69.487103652;87115879.75;2000;2.8100964937;3.7740251858;-0.027112747193
125970<BraNa>;2019-06-18;69.700844678;87383846.63;0;3.1263384202;3.7902463151;0.30759812253
125970<BraNa>;2019-06-19;69.862686027;88265309.76;678562.96;3.3657918417;3.7691386604;0.23219424347
125970<BraNa>;2019-06-21;70.087919647;88635309.72;85437.44;2.8054980021;3.7919948272;0.32239473185
125970<BraNa>;2019-06-24;70.089588733;88442780.03;-194640.86;2.8545245419;3.7364413161;0.0023814176529
125970<BraNa>;2019-06-25;69.777546635;89449028.47;1400000;2.3966114319;3.9146331079;-0.44520463462
125970<BraNa>;2019-06-26;69.747055062;89409940.65;0;2.3518658954;3.8618655531;-0.043698258924
125970<BraNa>;2019-06-27;69.863933092;89559769.29;0;2.2943192847;3.8194434147;0.16757414251
125970<BraNa>;2019-06-28;70.096242076;89803386.62;-54182.93;2.2526379398;3.8455632932;0.33251632703
125970<BraNa>;2019-07-01;70.105353546;89215490.55;-599570.13;1.9791450399;3.7889716827;0.012998514284
125970<BraNa>;2019-07-02;70.077190093;89179649.98;0;1.9381769154;3.7382874368;-0.040173041634
125970<BraNa>;2019-07-03;70.324463849;88558600.69;-935727.59;2.3036018238;3.7804695729;0.35285911981
125970<BraNa>;2019-07-04;70.604286285;88982814.2;71837.4;2.6370324178;3.8466385443;0.39790198171
125970<BraNa>;2019-07-05;70.801133439;89230900.65;0;3.1478417584;3.8398437789;0.27880340585
125970<BraNa>;2019-07-08;70.9496201;90937682.08;1519642;2.6762633941;3.8044490634;0.2097235636
125970<BraNa>;2019-07-09;70.962117744;90953700.2;0;2.6943496285;3.7469114383;0.017614815442
125970<BraNa>;2019-07-10;71.157549826;92305078.78;1100888.85;2.9614244326;3.7361367655;0.27540339561
125970<BraNa>;2019-07-11;71.113411549;92247822.92;0;2.5459788283;3.6942736695;-0.062028944285
125970<BraNa>;2019-07-12;71.028492168;92137665.41;0;2.5208616566;3.6701135647;-0.11941401617
125970<BraNa>;2019-07-15;71.005532984;92127183.35;19300;2.1574906743;3.6189659109;-0.032323907817
125970<BraNa>;2019-07-16;71.050666312;92422568.05;236825.88;2.222425157;3.5636147339;0.0635631146
125970<BraNa>;2019-07-17;71.129961403;92667714.97;142000;2.3642628117;3.5117328;0.11160358462
125970<BraNa>;2019-07-18;71.303720367;93044087.09;150000;2.2996503063;3.4987748703;0.24428378765
125970<BraNa>;2019-07-19;71.126666233;92813049.86;0;1.8092350541;3.5424798919;-0.24830981165
125970<BraNa>;2019-07-22;71.146229242;92838577.88;0;1.5099743305;3.4911764693;0.027504465288
125970<BraNa>;2019-07-23;71.064812042;93732336.02;1000000;1.3938099464;3.4665372031;-0.11443642333
125970<BraNa>;2019-07-24;71.164831202;92408323.25;-1455934.79;1.5340972723;3.4238979823;0.14074357878
125970<BraNa>;2019-07-25;70.956912476;92705753.58;567415.3;1.6901795738;3.5005608462;-0.29216499561
125970<BraNa>;2019-07-26;71.082118935;92989337.14;120000;1.9141508859;3.4661781809;0.17645420958
125970<BraNa>;2019-07-29;71.219551024;93219125.83;50000;1.6025237805;3.4372842619;0.19334270255
125970<BraNa>;2019-07-30;71.383718494;95110122.2;1676118.75;1.8367267336;3.4201034104;0.23050899181
125970<BraNa>;2019-07-31;71.291284725;95539738.47;552773.23;1.7048597951;3.4032249449;-0.12948858712
125970<BraNa>;2019-08-01;71.639172672;96005955.16;0;2.1878773132;3.5598507412;0.48798103162
125970<BraNa>;2019-08-02;71.704788057;96568887.59;475000;2.3225788036;3.5060093847;0.091591488854
125970<BraNa>;2019-08-05;71.288523583;93020114.03;-2995105.38;0.68839313662;3.8673172287;-0.58052535287
125970<BraNa>;2019-08-06;71.649277193;93735839.42;245000;1.1979239771;4.0085178608;0.50604724602
125970<BraNa>;2019-08-07;71.733874557;93996514.49;150000;1.3174098667;3.9518082851;0.11807148293
125970<BraNa>;2019-08-08;72.164307762;95783300.63;1222767;1.7120425178;4.1674144106;0.60004176194
125970<BraNa>;2019-08-09;72.236027462;95517751.95;-360742.32;1.7951968714;4.1050430648;0.099383895031
125970<BraNa>;2019-08-12;71.889605591;95316159.43;256482.36;1.2123492928;4.3042671744;-0.47956938279
125970<BraNa>;2019-08-13;72.012477929;96507072.66;1028000;1.3853395041;4.2516168329;0.17091808713
125970<BraNa>;2019-08-14;71.624291904;96213089.52;226242.14;0.83881794126;4.4937614856;-0.53905383711
125970<BraNa>;2019-08-15;71.427277741;96134216.91;185777.65;0.59396041252;4.5143925488;-0.27506612369
125970<BraNa>;2019-08-16;71.571245167;98354548.02;2026564.26;0.73268680244;4.4663000149;0.20155804814
125970<BraNa>;2019-08-19;71.417622242;98399437.28;256000.66;0.4090674076;4.4573445886;-0.21464335932
125970<BraNa>;2019-08-20;71.37900225;98437386.71;91160;0.35476992052;4.3984102656;-0.054076278502
125970<BraNa>;2019-08-21;71.726383171;99207455.45;291002.24;0.84316750599;4.496880379;0.4866710231
125970<BraNa>;2019-08-22;71.651719319;99600856.71;496672.55;0.71049454364;4.4486897499;-0.1040953809
125970<BraNa>;2019-08-23;71.275891931;99406536.15;328105.37;0.29702448082;4.6548553385;-0.52451970651
125970<BraNa>;2019-08-26;70.923819768;99330510.4;415000;-0.22269899755;4.8149963701;-0.49395686665
125970<BraNa>;2019-08-27;71.077919718;100022675.44;476344.13;-0.0059075569879;4.7677475457;0.21727531039
125970<BraNa>;2019-08-28;71.175350744;104159782.96;4000000;0.13116070677;4.7045796789;0.13707636153
125970<BraNa>;2019-08-29;71.415302123;104810933.8;300000;0.27485584433;4.7021949271;0.33712707555
125970<BraNa>;2019-08-30;71.604599888;106101532.09;1012779.8;0.30942825524;4.670285272;0.26506611284
125970<BraNa>;2019-09-02;71.68255991;106352050.94;135000;-0.030999529099;4.6030970268;0.10887571734
125970<BraNa>;2019-09-03;71.495472258;106876541.78;802064.38;-0.29191327903;4.6105584144;-0.26099465704
125970<BraNa>;2019-09-04;71.615570454;107356073.03;300000;-0.12442349379;4.5530880227;0.16798014167
125970<BraNa>;2019-09-05;71.663247914;107427545.01;0;0.52564467896;4.4847640706;0.066574153243
125970<BraNa>;2019-09-06;71.61025618;107848106.46;500000;-0.054461139825;4.4288279213;-0.073945481472
125970<BraNa>;2019-09-09;71.273884827;107446816.79;105299.19;-1.3319428936;4.5836761503;-0.46972510709
125970<BraNa>;2019-09-10;71.200632048;109660719.66;2324333.74;-1.4333504343;4.5316169548;-0.10277646451
125970<BraNa>;2019-09-11;71.518610452;110150459.74;0;-0.99315678735;4.5990956072;0.44659491705
125970<BraNa>;2019-09-12;71.638851655;111635651.4;1300000;-0.34880416106;4.5429738819;0.16812575377
125970<BraNa>;2019-09-13;71.437300258;111321570.6;0;-0.79871945591;4.5614056825;-0.28134370232
125970<BraNa>;2019-09-16;71.483643648;111166075.87;-227712.58;-0.12239764564;4.4927954965;0.064872819348
125970<BraNa>;2019-09-17;71.652948382;111429366.35;0;0.11415648114;4.4573271359;0.23684401822
125970<BraNa>;2019-09-18;71.666583086;111450569.9;0;0.13320701364;4.3904056368;0.019028809947
125970<BraNa>;2019-09-19;71.848624477;111908666.7;175000;0.60349563701;4.3640046269;0.25401153962
125970<BraNa>;2019-09-20;71.838670963;111893164.1;0;0.64398310242;4.3006097877;-0.013853450309
125970<BraNa>;2019-09-23;71.807994381;111870382.61;25000;0.74653916672;4.2414815685;-0.042702046358
125970<BraNa>;2019-09-24;71.740501899;111765235.49;0;0.65184728719;4.194548463;-0.093990205914
125970<BraNa>;2019-09-25;71.714883577;111875324.16;150000;0.61590480946;4.1348946069;-0.035709704935
125970<BraNa>;2019-09-26;71.913773838;112035531.96;-150061.42;1.3957991439;4.1240693768;0.27733470415
125970<BraNa>;2019-09-27;71.850536575;112539914.55;602900;1.086999817;4.0764755195;-0.087934840394
125970<BraNa>;2019-09-30;71.870308595;112570883.89;0;0.37107770677;4.0146793707;0.027518263414
125970<BraNa>;2019-10-01;71.808645414;112638399.99;164100;0.28496147788;3.9690574574;-0.08579785208
125970<BraNa>;2019-10-02;71.453804109;112302122.4;220322.89;-0.31912336999;4.1741450663;-0.4941484457
125970<BraNa>;2019-10-03;71.651674316;112813110.02;200000;0.2184782521;4.1657294054;0.27692046624
125970<BraNa>;2019-10-04;71.797158822;113370517.06;328347;0.25355989856;4.1280701956;0.203044111
125970<BraNa>;2019-10-07;71.434387107;113397685.75;600000;-0.24559201702;4.33220384;-0.50527307812
125970<BraNa>;2019-10-08;71.307952585;113711978.68;515000;-0.42215125477;4.3071385985;-0.17699392065
125970<BraNa>;2019-10-09;71.44956389;113807058.24;-130742.4;0.24648447779;4.2638003793;0.19859118129
125970<BraNa>;2019-10-10;71.471905043;113832586.41;-10057.56;0.38099801441;4.1967980618;0.031268424027
125970<BraNa>;2019-10-11;71.828735451;114540907.28;140000;0.43362838915;4.3260419723;0.49925968488
125970<BraNa>;2019-10-14;71.912690782;115075865.92;401080;0.66546541148;4.266421101;0.11688265221
125970<BraNa>;2019-10-15;71.867903471;115004196.01;0;0.60277083849;4.2113957753;-0.062280120346
125970<BraNa>;2019-10-16;71.993632957;115455389.87;250000;0.7134349662;4.1644824121;0.17494525364
