Ativo;Data;Cota;PL;Capt Liq;Monthly Return;Vol EWMA 97%;Daily Return
405469<BraNa>;2019-06-03;16.476777072;1584045669.3;-497856.03;2.1370338489;2.7019507413;0.049422778648
405469<BraNa>;2019-06-04;16.489436474;1585262695.3;0;2.2155075549;2.6619616856;0.076831784645
405469<BraNa>;2019-06-05;16.472403933;1581815376.2;-1809809.76;2.1099254267;2.6637946514;-0.10329364949
405469<BraNa>;2019-06-06;16.522571526;1585605616.3;-1027294.92;2.4179544449;2.7039369216;0.30455538144
405469<BraNa>;2019-06-07;16.591281707;1591316317.6;-883162.8;2.8674085805;2.8241081918;0.4158564614
405469<BraNa>;2019-06-10;16.627620861;1593906390.8;-895333.43;2.6337790216;2.8080271315;0.21902559565
405469<BraNa>;2019-06-11;16.659237865;1596936132.4;0;2.8289345764;2.7854154598;0.19014749014
405469<BraNa>;2019-06-12;16.615859488;1591793836.5;0;2.5611820935;2.8930938493;-0.26038632423
405469<BraNa>;2019-06-13;16.639507238;1593555816.5;-503560.51;2.804923966;2.8565521059;0.14232035828
405469<BraNa>;2019-06-14;16.663618004;1594664666.9;-1200082.05;2.7050490453;2.8197812119;0.14490071771
405469<BraNa>;2019-06-17;16.670583225;1593740628.3;-1590607.94;3.3137899229;2.7788504474;0.041798972416
405469<BraNa>;2019-06-18;16.693782961;1595957494;0;3.4575672986;2.7447381695;0.13916571606
405469<BraNa>;2019-06-19;16.721435839;1597616999.2;-984162.66;3.6289424434;2.7139247514;0.16564776197
405469<BraNa>;2019-06-24;16.86037425;1608180686.2;-711873.3;3.7510485203;3.1975452426;0.083730397273
405469<BraNa>;2019-06-25;16.804128464;1602815828.5;0;3.4049376249;3.3438025946;-0.33359749168
405469<BraNa>;2019-06-26;16.829404267;1604944630.7;-282066.52;3.5604733775;3.3000914854;0.15041424176
405469<BraNa>;2019-06-27;16.864219372;1607929340.5;-335414.35;3.6078624507;3.2697524974;0.20687069318
405469<BraNa>;2019-06-28;16.910586844;1611434451.4;-915855.2;3.3474955449;3.2649710912;0.27494585411
405469<BraNa>;2019-07-01;16.926034334;1612093691.8;-812762.07;2.777379196;3.2161280246;0.091348044407
405469<BraNa>;2019-07-02;16.896054383;1609237214;0;2.5953365033;3.2431745105;-0.17712330682
405469<BraNa>;2019-07-03;16.9249623;1611575972.6;-414483.61;2.7201025185;3.2067104119;0.1710927123
405469<BraNa>;2019-07-04;16.96053543;1614402688.7;-557219.22;2.856974259;3.1794143313;0.21018143889
405469<BraNa>;2019-07-05;16.973975856;1615228296.9;-453651.37;3.0449224349;3.1287583897;0.079245297093
405469<BraNa>;2019-07-08;17.018287263;1617991943.9;-1453008.64;2.5736743144;3.1220115884;0.2610549649
405469<BraNa>;2019-07-09;17.019859313;1618141438.3;0;2.583149471;3.0775692531;0.0092374155429
405469<BraNa>;2019-07-10;17.077118131;1622886091.7;-695847.67;2.7033168095;3.1040655661;0.33642356648
405469<BraNa>;2019-07-11;17.099010826;1624370475.7;-596123.94;2.6398144058;3.0596532686;0.12819900203
405469<BraNa>;2019-07-12;17.075282072;1621548255.9;-568128.53;2.7649643114;3.079423158;-0.13877266665
405469<BraNa>;2019-07-15;17.066810804;1619064125.1;-1679577.12;2.4195993912;3.0535772733;-0.049611297163
405469<BraNa>;2019-07-16;17.039714943;1616493720.8;0;2.2569944864;3.0763868584;-0.15876346488
405469<BraNa>;2019-07-17;17.041952014;1615997728.7;-708215.64;2.2276892447;3.0349712737;0.013128570753
405469<BraNa>;2019-07-18;17.050753294;1615692280.2;-1134691.55;2.1383429581;2.9885372602;0.051644784435
405469<BraNa>;2019-07-19;17.040846979;1614201947.3;-551665.97;1.9101896698;2.9632708156;-0.0580989843
405469<BraNa>;2019-07-22;17.047099178;1613991432.7;-802741.38;1.1921356469;2.9213253092;0.036689481931
405469<BraNa>;2019-07-23;17.060000587;1615206412.4;0;1.2687188342;2.8762316659;0.075680967348
405469<BraNa>;2019-07-24;17.068863869;1614731710.5;-1313829.79;1.2365657822;2.8338454133;0.051953581897
405469<BraNa>;2019-07-25;17.052043335;1611844272;-1296198.49;1.4753212035;2.8321210915;-0.098545129458
405469<BraNa>;2019-07-26;17.057719515;1611933782.6;-447039.96;1.3566448608;2.7913182925;0.033287390215
405469<BraNa>;2019-07-29;17.060621607;1610756828.4;-1451202.71;0.88722386972;2.7536630229;0.017013365323
405469<BraNa>;2019-07-30;17.047323185;1609490195.6;0;0.80858424426;2.7441818531;-0.077948051876
405469<BraNa>;2019-07-31;17.042054018;1607535136.9;-1457608.99;0.777425259;2.717751221;-0.030909059478
